CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City,State,Zip Code,County Name,PhoneNumber,CMS Region,Condition,Count,Footnote,Location,GeoLocation
29T049,RENOWN REHABILITATION HOSPITAL,1495 MILL STREET,,RENO,NV,89502,Carson City,(775) 982-3501,9,Hip or femur fracture,35,,"1495 MILL STREET RENO, NV 89502 (39.523185, -119.792667)","(39.493240390000494, -117.07184056399967)"
45T747,PALESTINE REGIONAL MEDICAL CENTER,2900 SOUTH LOOP 256,,PALESTINE,TX,75801,Anderson,(903) 731-5278,6,Nervous system disorder (excluding stroke),15,,"2900 SOUTH LOOP 256 PALESTINE, TX 75801 (31.733374, -95.625307)","(31.827240407000488, -99.42677020599967)"
19T019,CHRISTUS ST. FRANCES CABRINI HOSPITAL,3330 MASONIC DR.,,ALEXANDRIA,LA,71301,Rapides,(318) 561-4163,6,Brain disease or condition (non-traumatic),23,,"3330 MASONIC DR. ALEXANDRIA, LA 71301 (31.282401, -92.460848)","(31.31266064400046, -92.44568007099969)"
63027,SPALDING REHABILITATION HOSPITAL,900 POTOMAC STREET,,AURORA,CO,80011,Adams,(303) 873-5511,8,"Hip or knee replacement, amputation or other bone or joint condition",151,,"900 POTOMAC STREET AURORA, CO 80011 (39.730587, -104.828319)","(38.843840757000464, -106.13361092099967)"
52T103,COMMUNITY MEMORIAL HOSPITAL,W180 N8085 TOWN HALL ROAD,,MENOMONEE FALLS,WI,53051,Waukesha,(262) 257-3555,5,Spinal cord disease or condition (non-traumatic),less than 11,1,,"(44.39319117400049, -89.81637074199966)"
39T045,WILLIAMSPORT HOSPITAL REHAB,777 RURAL AVENUE,,WILLIAMSPORT,PA,17701,Lycoming,(570) 321-3751,3,Brain disease or condition (non-traumatic),26,,"777 RURAL AVENUE WILLIAMSPORT, PA 17701 (41.247824, -77.016375)","(40.79373015200048, -77.86070029399963)"
29T003,SUNRISE HOSPITAL MEDICAL CENTER,3186 S. MARYLAND PKWY.,W300,LAS VEGAS,NV,89109,Clark,(702) 731-8310,9,Nervous system disorder (excluding stroke),36,,"3186 S. MARYLAND PKWY. LAS VEGAS, NV 89109 (36.134586, -115.136883)","(39.493240390000494, -117.07184056399967)"
34T147,BRYANT T. ALDRIDGE REHABILITATION CENTER,2400 MEDPARK DRIVE,,ROCKY MOUNT,NC,27804,Nash,(252) 962-3709,4,Hip or femur fracture,54,,"2400 MEDPARK DRIVE ROCKY MOUNT, NC 27804 (35.973306, -77.854151)","(35.466220975000454, -79.15925046299964)"
53031,ENCOMPASS HEALTH REHABILITATON HOSPITAL OF BAKERS,5001 COMMERCE DRIVE,,BAKERSFIELD,CA,93309,Kern,(661) 323-5500,9,All other conditions,198,,"5001 COMMERCE DRIVE BAKERSFIELD, CA 93309 (35.368008, -119.057743)","(37.63864012300047, -120.99999953799971)"
443028,VANDERBILT STALLWORTH REHAB HOSPITAL,2201 CHILDRENS WAY,,NASHVILLE,TN,37212,Davidson,(615) 320-7600,4,Spinal cord injury (traumatic),12,,"2201 CHILDRENS WAY NASHVILLE, TN 37212 (36.138788, -86.802165)","(35.68094058000048, -85.77449091399967)"
193098,COBALT REHABILITATION HOSPITAL NEW ORLEANS,3801 BIENVILLE STREET,,NEW ORLEANS,LA,70119,Orleans,(504) 930-3500,6,Spinal cord disease or condition (non-traumatic),19,,"3801 BIENVILLE STREET NEW ORLEANS, LA 70119 (29.974334, -90.096244)","(31.31266064400046, -92.44568007099969)"
26T096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,,NORTH KANSAS CITY,MO,64116,Clay,(502) 596-6346,7,Spinal cord disease or condition (non-traumatic),21,,"2800 CLAY EDWARDS DRIVE NORTH KANSAS CITY, MO 64116 (39.15081, -94.551852)","(38.635790776000476, -92.56630005299968)"
673062,WEATHERFORD REHABILITATION HOSPITAL LLC,703 EUREKA STREET,,WEATHERFORD,TX,76086,Parker,(682) 803-0100,6,Hip or femur fracture,41,,"703 EUREKA STREET WEATHERFORD, TX 76086 (32.750066, -97.787636)","(31.827240407000488, -99.42677020599967)"
35T006,TRINITY REHABCARE CENTER,407 3RD ST. SE,,MINOT,ND,58701,Ward,(502) 596-6346,8,Hip or femur fracture,37,,"407 3RD ST. SE MINOT, ND 58701 (48.232479, -101.288452)","(47.47531977900047, -100.11842104899966)"
493032,HEALTHSOUTH REHABILITATION HOSPITAL OF FREDERICKS,300 PARK HILL DRIVE,,FREDERICKSBURG,VA,22401,Fredericksburg City,(540) 368-7300,3,All other conditions,142,,"300 PARK HILL DRIVE FREDERICKSBURG, VA 22401 (38.312908, -77.486243)","(37.54268067400045, -78.45789046299967)"
313032,"KESSLER INSTITUTE FOR REHABILITATION,INC",92 BRICK ROAD,,MARLTON,NJ,8053,Burlington,(856) 988-8778,2,All other conditions,165,,"92 BRICK ROAD MARLTON, NJ 08053 (39.880588, -74.919209)","(40.13057004800049, -74.27369128799967)"
37T025,SAINT FRANCIS HOSPITAL MUSKOGEE,300 ROCKEFELLER DRIVE,,MUSKOGEE,OK,74401,Muskogee,(918) 684-2395,6,Spinal cord disease or condition (non-traumatic),11,,"300 ROCKEFELLER DRIVE MUSKOGEE, OK 74401 (35.753648, -95.406187)","(35.47203135600046, -97.52107021399968)"
14T052,SAINT ANTHONYS HEALTH CENTER,915 E 5TH ST,,ALTON,IL,62002,Madison,(618) 463-5137,5,Brain disease or condition (non-traumatic),Not Available,2,"915 E 5TH ST ALTON, IL 62002 (38.890968, -90.17079)","(40.48501028300046, -88.99771017799969)"
19T144,MINDEN MEDICAL CENTER REHAB,1 MEDICAL CENTER,,MINDEN,LA,71055,Webster,(318) 371-3291,6,All other conditions,17,,,"(31.31266064400046, -92.44568007099969)"
343025,CAREPARTNERS  REHABILITATION HOSP,68 SWEETEN CREEK RD,,ASHEVILLE,NC,28813,Buncombe,(828) 274-2400,4,Brain disease or condition (non-traumatic),61,,"68 SWEETEN CREEK RD ASHEVILLE, NC 28813 (35.563552, -82.531304)","(35.466220975000454, -79.15925046299964)"
05T236,SIMI VALLEY HOSPITAL ; HEALTH CARE SVC,2975 NORTH SYCAMORE DRIVE,,SIMI VALLEY,CA,93065,Ventura,(805) 955-6000,9,"Hip or knee replacement, amputation or other bone or joint condition",Not Available,2,"2975 NORTH SYCAMORE DRIVE SIMI VALLEY, CA 93065 (34.288837, -118.74396)","(37.63864012300047, -120.99999953799971)"
33T127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY S,,BRONX,NY,10461,Bronx,(718) 918-5545,2,Spinal cord injury (traumatic),less than 11,1,"1400 PELHAM PARKWAY S BRONX, NY 10461 (40.857455, -73.84721)","(42.82700103200045, -75.54397042699964)"
06T011,DENVER HEALTH MEDICAL CENTER,777 BANNOCK ST.,,DENVER,CO,80204,Denver,(303) 602-7320,8,Brain disease or condition (non-traumatic),Not Available,2,"777 BANNOCK ST. DENVER, CO 80204 (39.72823, -104.990066)","(38.843840757000464, -106.13361092099967)"
393045,HEALTHSOUTH REHABILITATION HOSPITAL OF SEWICKLEY,303 CAMP MEETING ROAD,,SEWICKLEY,PA,15143,Allegheny,(412) 741-9500,3,Stroke,189,,"303 CAMP MEETING ROAD SEWICKLEY, PA 15143 (40.575978, -80.20128)","(40.79373015200048, -77.86070029399963)"
44T175,CROCKETT HOSPITAL REHAB UNIT,1607 S LOCUST AVE,,LAWRENCEBURG,TN,38464,Lawrence,(931) 766-3274,4,Nervous system disorder (excluding stroke),less than 11,1,"1607 S LOCUST AVE LAWRENCEBURG, TN 38464 (35.221956, -87.336694)","(35.68094058000048, -85.77449091399967)"
03T085,NORTHWEST MEDICAL CENTER/CHS,6200 N LA CHOLLA BLVD,,TUCSON,AZ,85741,Pima,(520) 469-8366,9,Spinal cord injury (traumatic),less than 11,1,"6200 N LA CHOLLA BLVD TUCSON, AZ 85741 (32.319581, -111.012054)","(34.865970280000454, -111.76381127699972)"
26T085,SAINT JOSEPH MEDICAL CENTER,1000 CARONDELET DRIVE,,KANSAS CITY,MO,64114,Jackson,(816) 943-2693,7,Brain injury (traumatic),less than 11,1,"1000 CARONDELET DRIVE KANSAS CITY, MO 64114 (38.934471, -94.605342)","(38.635790776000476, -92.56630005299968)"
463025,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF UTAH,8074 SOUTH 1300 EAST,,SANDY,UT,84094,Salt Lake,(801) 561-3400,8,Brain injury (traumatic),38,,"8074 SOUTH 1300 EAST SANDY, UT 84094 (40.604691, -111.853179)","(39.360700171000474, -111.58713063499971)"
673032,RELIANT REHABILITATION HOSPITAL OF CENTRAL TEXAS,1400 HESTER'S CROSSING,,ROUND ROCK,TX,78681,Williamson,(972) 308-8517,6,Spinal cord injury (traumatic),less than 11,1,"1400 HESTER'S CROSSING ROUND ROCK, TX 78681 (30.482877, -97.692959)","(31.827240407000488, -99.42677020599967)"
14T150,UNIVERSITY OF ILLINOIS MEDICAL CENTER AT CHICAGO,1740 W. TAYLOR ST. M/C 889,,CHICAGO,IL,60612,Cook,(312) 996-3698,5,All other conditions,Not Available,2,"1740 W. TAYLOR ST. M/C 889 CHICAGO, IL 60612 (41.869224, -87.670529)","(40.48501028300046, -88.99771017799969)"
05T737,GARFIELD MEDICAL CENTER,525 N. GARFIELD AVENUE,,MONTEREY PARK,CA,91754,Los Angeles,(626) 307-2130,9,Nervous system disorder (excluding stroke),42,,"525 N. GARFIELD AVENUE MONTEREY PARK, CA 91754 (34.067864, -118.122906)","(37.63864012300047, -120.99999953799971)"
26T137,FREEMAN HEALTH SYSTEMS,1102 W 32ND ST,,JOPLIN,MO,64804,Jasper,(417) 347-4525,7,Hip or femur fracture,46,,"1102 W 32ND ST JOPLIN, MO 64804 (37.054408, -94.526884)","(38.635790776000476, -92.56630005299968)"
25T004,NORTH MISSISSIPPI MEDICAL CENTER,830 S GLOSTER STREET,,TUPELO,MS,38801,Lee,(662) 377-3780,4,Brain disease or condition (non-traumatic),19,,"830 S GLOSTER STREET TUPELO, MS 38801 (34.242203, -88.717758)","(32.745510099000455, -89.53803082499968)"
01T139,AMI BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CTR. DR,,HOMEWOOD,AL,35209,Jefferson,(205) 877-1600,4,Brain injury (traumatic),19,,"2010 BROOKWOOD MEDICAL CTR. DR HOMEWOOD, AL 35209 (33.463089, -86.776485)","(32.84057112200048, -86.63186076199969)"
36T056,MERCY HOSPITAL FAIRFIELD,3000 MACK ROAD,,FAIRFIELD,OH,45014,Butler,(502) 596-6346,5,Stroke,95,,"3000 MACK ROAD FAIRFIELD, OH 45014 (39.310902, -84.519501)","(40.06021014100048, -82.40426005599966)"
34T132,MARIA PARHAM HEALTHCARE ASSOCIATION INC,566 RUIN CREEK RD,,HENDERSON,NC,27536,Vance,(252) 436-1166,4,Nervous system disorder (excluding stroke),less than 11,1,"566 RUIN CREEK RD HENDERSON, NC 27536 (36.330413, -78.447803)","(35.466220975000454, -79.15925046299964)"
14T252,NORTHWEST COMMUNITY HEALTHCARE,800 WEST CENTRAL ROAD,,ARLINGTON HEIGHTS,IL,60005,Cook,(502) 596-6346,5,Stroke,145,,"800 WEST CENTRAL ROAD ARLINGTON HEIGHTS, IL 60005 (42.066604, -87.992951)","(40.48501028300046, -88.99771017799969)"
103040,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA,1847 FLORIDA AVE,,PANAMA CITY,FL,32405,Bay,(850) 914-8600,4,Spinal cord injury (traumatic),less than 11,1,"1847 FLORIDA AVE PANAMA CITY, FL 32405 (30.18148, -85.66824)","(28.932040377000476, -81.92896053899966)"
05T417,SUTTER COAST HOSPITAL,800 EAST WASHINGTON BLVD,,CRESCENT CITY,CA,95531,Del Norte,(502) 596-6346,9,Brain disease or condition (non-traumatic),less than 11,1,"800 EAST WASHINGTON BLVD CRESCENT CITY, CA 95531 (41.772698, -124.194144)","(37.63864012300047, -120.99999953799971)"
673044,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF THE MI,2304 HIGHWAY 121,,BEDFORD,TX,76021,Tarrant,(817) 684-2000,6,All other conditions,216,,"2304 HIGHWAY 121 BEDFORD, TX 76021 (32.846289, -97.113711)","(31.827240407000488, -99.42677020599967)"
673058,BAYLOR SCOTT ; WHITE INSTITUTE FOR  REHABILITATION,2000 MEDICAL DRIVE,,LAKEWAY,TX,78734,Travis,(512) 263-4500,6,Spinal cord injury (traumatic),less than 11,1,"2000 MEDICAL DRIVE LAKEWAY, TX 78734 (30.344744, -97.969563)","(31.827240407000488, -99.42677020599967)"
05T380,GOOD SAMARITAN HOSPITAL,15891 LOS-GATOS-ALMADEN ROAD,,SAN JOSE,CA,95032,Santa Clara,(408) 358-5611,9,"Hip or knee replacement, amputation or other bone or joint condition",22,,"15891 LOS-GATOS-ALMADEN ROAD SAN JOSE, CA 95032 (37.243598, -121.947713)","(37.63864012300047, -120.99999953799971)"
11T038,JOHN D. ARCHBOLD MEMORIAL HOSPITAL,GORDON AVE. @ MIMOSA DRIVE,P.O. BOX 1018,THOMASVILLE,GA,31792,Thomas,(229) 228-8063,4,Stroke,31,,"GORDON AVE. @ MIMOSA DRIVE THOMASVILLE, GA 31792 (30.826126, -83.973943)","(32.83968109300048, -83.62758034599966)"
11T043,THE REHAB CENTER AT ST. JOSEPHS,11705 MERCY BLVD.,,SAVANNAH,GA,31419,Chatham,(615) 500-7913,4,Brain disease or condition (non-traumatic),17,,"11705 MERCY BLVD. SAVANNAH, GA 31419 (31.985079, -81.152792)","(32.83968109300048, -83.62758034599966)"
41T005,SOUTHERN NEW ENGLAND REHAB CTR,200 HIGH SERVICE AVENUE,,NORTH PROVIDENCE,RI,2904,Providence,(401) 456-3868,1,Hip or femur fracture,37,,"200 HIGH SERVICE AVENUE NORTH PROVIDENCE, RI 02904 (41.855796, -71.458498)","(41.70828019300046, -71.52247031399963)"
23T146,HENRY FORD WYANDOTTE HOSPITAL,2333 BIDDLE,,WYANDOTTE,MI,48192,Wayne,(734) 246-8962,5,All other conditions,99,,"2333 BIDDLE WYANDOTTE, MI 48192 (42.209694, -83.148776)","(44.6613195430005, -84.71439026999968)"
15T021,PARKVIEW HOSPITAL,2200 RANDALLIA DRIVE,,FORT WAYNE,IN,46805,Allen,(260) 373-3691,5,Brain disease or condition (non-traumatic),20,,"2200 RANDALLIA DRIVE FORT WAYNE, IN 46805 (41.096106, -85.111542)","(39.766910452000445, -86.14996019399968)"
19T146,EAST JEFFERSON GENERAL HOSPITAL,4200 HOUMA BLVD.,,METAIRIE,LA,70006,Jefferson,(502) 596-6346,6,Hip or femur fracture,33,,"4200 HOUMA BLVD. METAIRIE, LA 70006 (30.014162, -90.181468)","(31.31266064400046, -92.44568007099969)"
23T047,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE ROAD,,CLINTON TOWNSHIP,MI,48038,Macomb,(586) 263-2489,5,Spinal cord disease or condition (non-traumatic),28,,"15855 NINETEEN MILE ROAD CLINTON TOWNSHIP, MI 48038 (42.612671, -82.963405)","(44.6613195430005, -84.71439026999968)"
50T064,HARBORVIEW MEDICAL CENTER,325 9TH AVE,BOX 359818,SEATTLE,WA,98104,King,(206) 744-3170,10,Brain injury (traumatic),20,,"325 9TH AVE SEATTLE, WA 98104 (47.604084, -122.323372)","(47.52227862900048, -120.47001078999972)"
16T117,UNITYPOINT FINLEY HOSPITAL,350 N GRANDVIEW AVE,,DUBUQUE,IA,52001,Dubuque,(563) 589-2642,7,Hip or femur fracture,less than 11,1,"350 N GRANDVIEW AVE DUBUQUE, IA 52001 (42.495413, -90.687573)","(42.46940091300047, -93.81649055599968)"
503026,CHI FRANCISCAN REHABILITATION HOSPITAL,815 S VASSAULT ST,,TACOMA,WA,98465,Pierce,(253) 444-3320,10,Spinal cord injury (traumatic),Not Available,2,"815 S VASSAULT ST TACOMA, WA 98465 (47.252749, -122.521136)","(47.52227862900048, -120.47001078999972)"
05T038,SANTA CLARA VALLEY MEDICAL CENTER,751 S BASCOM AVE,2325 ENBORG LN SUITE 340,SAN JOSE,CA,95128,Santa Clara,(408) 885-2030,9,Spinal cord disease or condition (non-traumatic),32,,"751 S BASCOM AVE SAN JOSE, CA 95128 (37.313702, -121.931888)","(37.63864012300047, -120.99999953799971)"
19T046,TOURO REHABILITATION CENTER,1401 FOUCHER STREET,,NEW ORLEANS,LA,70115,Orleans,(504) 897-8055,6,Stroke,111,,"1401 FOUCHER STREET NEW ORLEANS, LA 70115 (29.925391, -90.092915)","(31.31266064400046, -92.44568007099969)"
33T056,THE BROOKLYN HOSPITAL CENTER,121 DEKALB AVE,,BROOKLYN,NY,11201,Kings,(718) 250-6589,2,"Hip or knee replacement, amputation or other bone or joint condition",11,,"121 DEKALB AVE BROOKLYN, NY 11201 (40.689785, -73.9774)","(42.82700103200045, -75.54397042699964)"
23T066,HACKLEY HOSPITAL,1700 CLINTON STREET,,MUSKEGON,MI,49443,Muskegon,(231) 728-4007,5,Stroke,112,,"1700 CLINTON STREET MUSKEGON, MI 49443 (43.221939, -86.243075)","(44.6613195430005, -84.71439026999968)"
51T023,WEIRTON MEDICAL CENTER,601 COLLIERS WAY,,WEIRTON,WV,26062,Hancock,(304) 797-6104,3,Spinal cord disease or condition (non-traumatic),less than 11,1,"601 COLLIERS WAY WEIRTON, WV 26062 (40.393726, -80.529739)","(38.66551020200046, -80.71264013499967)"
11T115,WELLSTAR ATLANTA MEDICAL CENTER,303 PARKWAY DR. NE,,ATLANTA,GA,30312,Fulton,(404) 265-1066,4,Nervous system disorder (excluding stroke),15,,"303 PARKWAY DR. NE ATLANTA, GA 30312 (33.76327, -84.373986)","(32.83968109300048, -83.62758034599966)"
01T100,THOMAS HOSPITAL,750 MORPHY AVENUE,,FAIRHOPE,AL,36533,Baldwin,(251) 435-3417,4,Brain disease or condition (non-traumatic),less than 11,1,"750 MORPHY AVENUE FAIRHOPE, AL 36533 (30.519999, -87.890333)","(32.84057112200048, -86.63186076199969)"
11T087,GLANCY REHABILITATION CENTER,3215 MCCLURE BRIDGE ROAD,,DULUTH,GA,30096,Gwinnett,(678) 312-6000,4,Spinal cord injury (traumatic),less than 11,1,"3215 MCCLURE BRIDGE ROAD DULUTH, GA 30096 (34.006523, -84.151596)","(32.83968109300048, -83.62758034599966)"
45T571,SHANNON WEST TEXAS MEMORIAL HOSPITAL,120 E.HARRIS,,SAN ANGELO,TX,76903,Tom Green,(325) 481-8434,6,Spinal cord injury (traumatic),Not Available,2,"120 E.HARRIS SAN ANGELO, TX 76903 (31.464485, -100.43509)","(31.827240407000488, -99.42677020599967)"
15T008,THE REHABILITATION CENTER AT ST. CATHERINE HOSPITA,4321 FIR STREET,,EAST CHICAGO,IN,46312,Lake,(502) 596-6346,5,Brain disease or condition (non-traumatic),87,,"4321 FIR STREET EAST CHICAGO, IN 46312 (41.634064, -87.448542)","(39.766910452000445, -86.14996019399968)"
10T231,WEST FLORIDA REHAB INSTITUTE,8391 NORTH DAVIS HIGHWAY,,PENSACOLA,FL,32514,Escambia,(850) 494-6147,4,Brain injury (traumatic),14,,"8391 NORTH DAVIS HIGHWAY PENSACOLA, FL 32514 (30.515743, -87.216469)","(28.932040377000476, -81.92896053899966)"
25T001,UNIVERSITY REHABILITATION CTR,777 LAKELAND DR,,JACKSON,MS,39216,Hinds,(601) 815-3188,4,Stroke,Not Available,2,"777 LAKELAND DR JACKSON, MS 39216 (32.333679, -90.171227)","(32.745510099000455, -89.53803082499968)"
31T010,PENN MEDICINE PRINCETON MEDICAL CENTER,ONE PLAINSBORO RD.,,PLAINSBORO,NJ,8536,Mercer,(609) 853-7922,2,Spinal cord disease or condition (non-traumatic),14,,,"(40.13057004800049, -74.27369128799967)"
10T246,LAWNWOOD PHYSICAL REHAB CENTER,1860 N. LAWNWOOD CIR.,,FORT PIERCE,FL,34950,St. Lucie,(772) 467-3903,4,"Hip or knee replacement, amputation or other bone or joint condition",43,,"1860 N. LAWNWOOD CIR. FORT PIERCE, FL 34950 (27.435835, -80.343319)","(28.932040377000476, -81.92896053899966)"
06T006,MONTROSE MEMORIAL HOSPITAL,800 S 3RD ST,,MONTROSE,CO,81401,Montrose,(970) 249-2211,8,Spinal cord injury (traumatic),less than 11,1,"800 S 3RD ST MONTROSE, CO 81401 (38.480881, -107.868769)","(38.843840757000464, -106.13361092099967)"
40T014,BELLA VISTA REHABILITATION CENTER,PO BOX 1750,,MAYAGUEZ,PR,681,Mayaguez,(502) 596-6346,2,Hip or femur fracture,76,,,"(40.79373015200048, -77.86070029399963)"
25T141,BAPTIST HOSPITAL DESOTO,7601 SOUTHCREST PARKWAY,,SOUTHAVEN,MS,38671,DeSoto,(662) 772-2150,4,Spinal cord disease or condition (non-traumatic),less than 11,1,"7601 SOUTHCREST PARKWAY SOUTHAVEN, MS 38671 (34.968348, -89.995535)","(32.745510099000455, -89.53803082499968)"
10T126,PALMS OF PASADENA HOSPITAL,1501 PASADENA AVE S,,ST PETERSBURG,FL,33707,Pinellas,(727) 341-7638,4,Hip or femur fracture,57,,"1501 PASADENA AVE S ST PETERSBURG, FL 33707 (27.753517, -82.738176)","(28.932040377000476, -81.92896053899966)"
26T110,SOUTHEAST HOSPITAL,1701 LACEY STREET,,CAPE GIRARDEAU,MO,63701,Cape Girardeau,(573) 331-6575,7,Hip or femur fracture,13,,"1701 LACEY STREET CAPE GIRARDEAU, MO 63701 (37.311273, -89.540936)","(38.635790776000476, -92.56630005299968)"
43T077,REGIONAL REHABILITATION INSTITUTE,1050 FAIRMONT BLVD,,RAPID CITY,SD,57701,Pennington,(605) 755-1205,8,Stroke,58,,"1050 FAIRMONT BLVD RAPID CITY, SD 57701 (44.058782, -103.234793)","(44.353130053000484, -100.3735306369997)"
673034,RELIANT REHABILITATION HOSPITAL NORTH HOUSTON,117 VISION PARK BLVD,,SHENANDOAH,TX,77302,Montgomery,(936) 444-1700,6,"Hip or knee replacement, amputation or other bone or joint condition",303,,"117 VISION PARK BLVD SHENANDOAH, TX 77302 (30.190357, -95.459099)","(31.827240407000488, -99.42677020599967)"
423030,"GREENWOOD REGIONAL REHABILITATION HOSPITAL, INC",1530 PARKWAY,,GREENWOOD,SC,29646,Greenwood,(864) 330-9070,4,All other conditions,196,,"1530 PARKWAY GREENWOOD, SC 29646 (34.167697, -82.15657)","(33.998821303000454, -81.04537120699968)"
363042,"MOUNT CARMEL REHABILITATION HOSPITAL, AN AFFILIATE",597 EXECUTIVE CAMPUS DR,,WESTERVILLE,OH,43082,Delaware,(614) 392-3400,5,Spinal cord injury (traumatic),less than 11,1,"597 EXECUTIVE CAMPUS DR WESTERVILLE, OH 43082 (40.143751, -82.948642)","(40.06021014100048, -82.40426005599966)"
39T133,LEHIGH VALLEY HOSPITAL,1200 S CEDAR CREST BLVD,,ALLENTOWN,PA,18103,Lehigh,(610) 402-7062,3,Stroke,236,,"1200 S CEDAR CREST BLVD ALLENTOWN, PA 18103 (40.566772, -75.518672)","(40.79373015200048, -77.86070029399963)"
33T102,KENMORE MERCY HOSPITAL,2950 ELMWOOD AVE,,KENMORE,NY,14217,Erie,(716) 510-9029,2,Nervous system disorder (excluding stroke),23,,"2950 ELMWOOD AVE KENMORE, NY 14217 (42.9779, -78.878678)","(42.82700103200045, -75.54397042699964)"
07T022,YALE NEW HAVEN HOSPITAL,300 SEASIDE AVENUE,,MILFORD,CT,6460,New Haven,(203) 867-8307,1,Spinal cord disease or condition (non-traumatic),25,,"300 SEASIDE AVENUE MILFORD, CT 06460 (41.217141, -73.064332)","(41.56266102000046, -72.64984095199964)"
34T027,LENOIR MEMORIAL HOSPITAL REHAB UNIT,100 AIRPORT RD,,KINSTON,NC,28501,Lenoir,(252) 522-7772,4,Brain injury (traumatic),Not Available,2,"100 AIRPORT RD KINSTON, NC 28501 (35.290955, -77.581407)","(35.466220975000454, -79.15925046299964)"
14T180,AMITA HEALTH SAINTS MARY AND ST ELIZABETH MED CTR,2233 WEST DIVISION STREET,,CHICAGO,IL,60622,Cook,(312) 770-2268,5,Hip or femur fracture,16,,"2233 WEST DIVISION STREET CHICAGO, IL 60622 (41.903104, -87.683213)","(40.48501028300046, -88.99771017799969)"
44T009,CUMBERLAND MEDICAL CENTER,421 S MAIN STREET,,CROSSVILLE,TN,38555,Cumberland,(931) 459-7768,4,All other conditions,Not Available,2,"421 S MAIN STREET CROSSVILLE, TN 38555 (35.942713, -85.023007)","(35.68094058000048, -85.77449091399967)"
39T174,THOMAS JEFFERSON UNIVERSITY HOSPITAL,375 MAIN BUILDING,,PHILADELPHIA,PA,19107,Philadelphia,(215) 955-5299,3,Spinal cord injury (traumatic),less than 11,1,,"(40.79373015200048, -77.86070029399963)"
10T173,FLORIDA HOSPITAL TAMPA,3100 EAST FLETCHER AVENUE,,TAMPA,FL,33613,Hillsborough,(813) 615-7200,4,Brain disease or condition (non-traumatic),83,,"3100 EAST FLETCHER AVENUE TAMPA, FL 33613 (28.069226, -82.424525)","(28.932040377000476, -81.92896053899966)"
28T003,BRYAN MEDICAL CENTER,2300 SOUTH 16TH STREET,,LINCOLN,NE,68502,Lancaster,(402) 481-9399,7,Spinal cord disease or condition (non-traumatic),23,,"2300 SOUTH 16TH STREET LINCOLN, NE 68502 (40.791403, -96.698402)","(41.6410409880005, -99.36572062299967)"
223034,SPAULDING REHABILITATION HOSPITAL,300 FIRST AVENUE,,CHARLESTOWN,MA,2129,Suffolk,(617) 720-6400,1,Spinal cord injury (traumatic),27,,"300 FIRST AVENUE CHARLESTOWN, MA 02129 (42.378048, -71.049363)","(42.27687047000046, -72.08269067499964)"
293026,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF LV,1250 S VALLEY VIEW BLVD,,LAS VEGAS,NV,89102,Clark,(702) 877-8898,9,Nervous system disorder (excluding stroke),338,,"1250 S VALLEY VIEW BLVD LAS VEGAS, NV 89102 (36.156863, -115.191478)","(39.493240390000494, -117.07184056399967)"
34T040,PITT COUNTY MEMORIAL HOSPITAL,PO BOX 8447,,GREENVILLE,NC,27835,Pitt,(252) 847-0873,4,Spinal cord injury (traumatic),21,,,"(35.466220975000454, -79.15925046299964)"
